Chromosome	h2_not_proportoin	std_err_h2
1	0.073846	0.00149928
2	0.070767	0.00142672
3	0.04673	0.00130388
4	0.018726	0.00129009
5	0.065	0.00131145
6	0.044064	0.00128862
7	0.007374	0.00121629
8	0.007374	0.00121707
9	0.015301	0.0011431
10	0.007374	0.00117599
11	0.009506	0.00109657
12	0.007374	0.00116006
13	0.042773	0.00103077
14	0.007374	0.00099654
15	0.049957	0.00102958
16	0.021918	0.00103603
17	0.007724	0.00099058
18	0.026422	0.0009971
19	0.00953	0.00092845
20	0.105096	0.00098007
21	0.007374	0.00073469
22	0.055307	0.00082266
X	0.053172	0.000846945
